"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.8","3.1","0.3"
"Arsenal","Arsenal","82.5","2.3","0.6"
"Liverpool","Liverpool","88.4","2.8","0.5"
"Tottenham","Tottenham","80.6","2.3","0.7"
"Chelsea","Chelsea","81.8","2.2","0.5"
"Brighton","Brighton","76.8","2.1","0.7"
"Man. United","Manchester Utd","75.8","2.2","0.8"
"Newcastle","Newcastle Utd","74.8","2.0","0.7"
"Aston Villa","Aston Villa","72.3","1.8","0.7"
"Brentford","Brentford","69.2","1.9","0.9"
"West Ham","West Ham","71.4","1.8","0.7"
"Crystal Palace","Crystal Palace","69.6","1.8","0.8"
"Leeds United","Leeds United","63.7","1.8","1.0"
"Everton","Everton","64.5","1.7","0.9"
"Fulham","Fulham","59.0","1.7","1.1"
"Leicester","Leicester City","67.1","2.0","1.0"
"Wolves","Wolves","67.1","1.7","0.8"
"Southampton","Southampton","63.2","1.8","1.0"
"Bournemouth","Bournemouth","54.9","1.5","1.1"
"Nottm Forest","Nott'ham Forest","54.2","1.5","1.2"
