"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","86.1","2.4","0.4"
"Man. City","Manchester City","91.1","2.8","0.4"
"Man. United","Manchester Utd","81.2","2.3","0.6"
"Newcastle","Newcastle Utd","81.7","2.1","0.5"
"Liverpool","Liverpool","85.6","2.7","0.6"
"Tottenham","Tottenham","77.5","2.3","0.8"
"Brighton","Brighton","78.0","2.2","0.7"
"Chelsea","Chelsea","80.3","2.1","0.5"
"Brentford","Brentford","70.5","2.1","0.9"
"Fulham","Fulham","66.7","1.9","1.0"
"Aston Villa","Aston Villa","73.7","1.9","0.7"
"Crystal Palace","Crystal Palace","67.4","1.7","0.8"
"Leicester","Leicester City","69.0","1.9","0.9"
"West Ham","West Ham","72.3","1.8","0.7"
"Leeds United","Leeds United","64.5","1.9","1.1"
"Southampton","Southampton","62.8","1.7","1.0"
"Wolves","Wolves","62.8","1.6","0.9"
"Everton","Everton","59.7","1.6","1.0"
"Bournemouth","Bournemouth","55.2","1.6","1.2"
"Nottm Forest","Nott'ham Forest","56.0","1.5","1.1"
