"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.1","3.0","0.4"
"Liverpool","Liverpool","90.0","2.8","0.4"
"Tottenham","Tottenham","81.9","2.4","0.6"
"Arsenal","Arsenal","80.6","2.3","0.6"
"Chelsea","Chelsea","82.7","2.3","0.5"
"Brighton","Brighton","75.8","1.9","0.6"
"Man. United","Manchester Utd","74.1","2.1","0.8"
"Crystal Palace","Crystal Palace","72.2","1.9","0.7"
"Newcastle","Newcastle Utd","71.1","1.9","0.8"
"Aston Villa","Aston Villa","71.6","2.0","0.8"
"Brentford","Brentford","68.7","1.9","0.9"
"Leeds United","Leeds United","64.9","1.8","1.0"
"Leicester","Leicester City","69.5","2.0","0.9"
"West Ham","West Ham","68.6","1.8","0.8"
"Wolves","Wolves","68.1","1.7","0.8"
"Fulham","Fulham","61.7","1.7","1.0"
"Southampton","Southampton","62.3","1.8","1.1"
"Everton","Everton","63.3","1.7","1.0"
"Nottm Forest","Nott'ham Forest","56.5","1.5","1.1"
"Bournemouth","Bournemouth","54.7","1.5","1.1"
