"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,21,16,2,3,51,46,18,28,99.2,53.4,0
"Manchester City",2,2,0,22,15,4,3,48,56,22,34,98.6,41.6,0
"Manchester Utd",3,3,0,23,14,5,4,46,38,28,10,76.4,3.6,0
"Newcastle Utd",4,4,0,22,10,1,11,41,35,13,22,49.1,0.6,0
"Tottenham",5,5,0,23,12,8,3,39,42,35,7,27.3,0.2,0
"Brighton",6,6,0,21,10,6,5,35,39,28,11,28.1,0.4,0
"Fulham",7,8,1,23,10,8,5,35,34,30,4,2.2,0,0
"Brentford",8,7,-1,22,8,4,10,34,36,29,7,5.1,0.2,0
"Chelsea",9,9,0,22,8,7,7,31,23,22,1,2.4,0,0
"Liverpool",10,10,0,20,8,7,5,29,34,28,6,11.3,0,0.1
"Aston Villa",11,11,0,22,8,10,4,28,26,34,-8,0.2,0,1.7
"Crystal Palace",12,12,0,22,6,9,7,25,20,30,-10,0.1,0,5.4
"Leicester City",13,14,1,22,7,12,3,24,36,38,-2,0,0,6.3
"Nott'ham Forest",14,13,-1,22,6,10,6,24,17,37,-20,0,0,23.5
"Wolves",15,15,0,22,6,11,5,23,17,31,-14,0,0,15.7
"West Ham",16,17,1,22,5,12,5,20,19,27,-8,0,0,21.3
"Leeds United",17,16,-1,22,4,11,7,19,28,38,-10,0,0,28.2
"Everton",18,18,0,21,4,11,6,18,16,28,-12,0,0,54
"Bournemouth",19,19,0,22,4,12,6,18,20,44,-24,0,0,66.1
"Southampton",20,20,0,22,4,15,3,15,18,40,-22,0,0,77.7
